2021-08-06/00:53:33		Start of Validation on files for prediction!!
2021-08-06/00:53:34		Raw Data Validation Complete!!
2021-08-06/00:53:34		Starting Data Transformation!!
2021-08-06/00:53:35		DataTransformation Completed!!!
2021-08-06/00:53:35		Creating Training_Database and tables on the basis of given schema!!!
2021-08-06/00:53:38		Table creation Completed!!
2021-08-06/00:53:38		Insertion of Data into Table started!!!!
2021-08-06/01:13:39		Insertion in Table completed!!!
2021-08-06/01:13:39		Deleting Good Data Folder!!!
2021-08-06/01:13:39		Good_Data folder deleted!!!
2021-08-06/01:13:39		Moving bad files to Archive and deleting Bad_Data folder!!!
2021-08-06/01:13:39		Bad files moved to archive!! Bad folder Deleted!!
2021-08-06/01:13:39		Validation Operation completed!!
2021-08-06/01:13:39		Extracting csv file from table
